SCIP version 8.0.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 6.0.0] [GitHash: a740f0891e]
Copyright (C) 2002-2021 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

External libraries: 
  SoPlex 6.0.0         Linear Programming Solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: 71a5873d]
  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (github.com/coin-or/CppAD)
  MPIR 3.0.0           Multiple Precision Integers and Rationals Library developed by W. Hart (mpir.org)
  ZIMPL 3.5.1          Zuse Institute Mathematical Programming Language developed by T. Koch (zimpl.zib.de)
  AMPL/MP 4e2d45c4     AMPL .nl file reader library (github.com/ampl/mp)
  PaPILO 2.0.0         parallel presolve for integer and linear optimization (github.com/scipopt/papilo) [GitHash: 76cafc1]
  Ipopt 3.12.9         Interior Point Optimizer developed by A. Waechter et.al. (github.com/coin-or/Ipopt)

user parameter file <scip.set> not found - using default parameters

read problem <led_15.lp>
============

WARNING: skipped single sign + without value or variable in objective
original problem has 316 variables (316 bin, 0 int, 0 impl, 0 cont) and 541 constraints

solve problem
=============

feasible solution found by trivial heuristic after 0.0 seconds, objective value 2.400000e+02
presolving:
(round 1, fast)       16 del vars, 16 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 464 clqs
   (0.0s) running MILP presolver
   (0.0s) MILP presolver found nothing
(round 2, exhaustive) 16 del vars, 16 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 525 upgd conss, 0 impls, 464 clqs
(round 3, exhaustive) 16 del vars, 36 del conss, 4 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 525 upgd conss, 0 impls, 464 clqs
   (0.0s) probing: 51/300 (17.0%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
   Deactivated symmetry handling methods, since SCIP was built without symmetry detector (SYM=none).
presolving (4 rounds: 4 fast, 3 medium, 3 exhaustive):
 16 deleted vars, 36 deleted constraints, 4 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 464 cliques
presolved problem has 300 variables (300 bin, 0 int, 0 impl, 0 cont) and 509 constraints
     56 constraints of type <knapsack>
    448 constraints of type <setppc>
      4 constraints of type <and>
      1 constraints of type <logicor>
transformed objective value is always integral (scale: 1)
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
p 0.0s|     1 |     0 |     0 |     - |   locks|   0 | 300 | 510 | 513 |   0 |  0 |   0 |   0 | 0.000000e+00 | 1.800000e+02 |    Inf | unknown
p 0.0s|     1 |     0 |     0 |     - | vbounds|   0 | 300 | 511 | 513 |   0 |  0 |   1 |   0 | 0.000000e+00 | 1.410000e+02 |    Inf | unknown
p 0.0s|     1 |     0 |     0 |     - | vbounds|   0 | 300 | 519 | 513 |   0 |  0 |   9 |   0 | 0.000000e+00 | 8.400000e+01 |    Inf | unknown
  0.0s|     1 |     0 |   195 |     - |  4425k |   0 | 300 | 519 | 513 |   0 |  0 |   9 |   0 | 1.333332e+00 | 8.400000e+01 |6200.01%| unknown
  0.0s|     1 |     0 |   311 |     - |  4553k |   0 | 300 | 527 | 518 |   5 |  1 |  17 |   0 | 1.133333e+01 | 8.400000e+01 | 641.18%| unknown
  0.0s|     1 |     0 |   388 |     - |  4666k |   0 | 300 | 528 | 522 |   9 |  2 |  18 |   0 | 2.133325e+01 | 8.400000e+01 | 293.75%| unknown
  0.0s|     1 |     0 |   604 |     - |  5058k |   0 | 300 | 532 | 528 |  15 |  3 |  22 |   0 | 3.190341e+01 | 8.400000e+01 | 163.29%| unknown
  0.0s|     1 |     0 |   791 |     - |  6388k |   0 | 300 | 533 | 535 |  22 |  4 |  23 |   0 | 3.662962e+01 | 8.400000e+01 | 129.32%| unknown
  1.0s|     1 |     0 |   923 |     - |  7300k |   0 | 300 | 533 | 544 |  31 |  5 |  23 |   0 | 3.662962e+01 | 8.400000e+01 | 129.32%| unknown
  1.0s|     1 |     0 |  1249 |     - |  8346k |   0 | 300 | 536 | 553 |  40 |  6 |  26 |   0 | 3.720000e+01 | 8.400000e+01 | 125.81%| unknown
  1.0s|     1 |     0 |  1352 |     - |    10M |   0 | 300 | 537 | 557 |  44 |  7 |  27 |   0 | 3.800000e+01 | 8.400000e+01 | 121.05%| unknown
  1.0s|     1 |     0 |  1445 |     - |    12M |   0 | 300 | 538 | 563 |  50 |  8 |  28 |   0 | 3.800000e+01 | 8.400000e+01 | 121.05%| unknown
  1.0s|     1 |     0 |  1664 |     - |    15M |   0 | 300 | 539 | 568 |  55 |  9 |  29 |   0 | 3.800000e+01 | 8.400000e+01 | 121.05%| unknown
  1.0s|     1 |     0 |  2043 |     - |    16M |   0 | 300 | 545 | 575 |  62 | 10 |  35 |   0 | 3.800000e+01 | 8.400000e+01 | 121.05%| unknown
  1.0s|     1 |     0 |  2351 |     - |    16M |   0 | 300 | 546 | 581 |  69 | 11 |  36 |   0 | 3.800000e+01 | 8.400000e+01 | 121.05%| unknown
