SCIP version 8.0.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 6.0.0] [GitHash: a740f0891e]
Copyright (C) 2002-2021 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

External libraries: 
  SoPlex 6.0.0         Linear Programming Solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: 71a5873d]
  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (github.com/coin-or/CppAD)
  MPIR 3.0.0           Multiple Precision Integers and Rationals Library developed by W. Hart (mpir.org)
  ZIMPL 3.5.1          Zuse Institute Mathematical Programming Language developed by T. Koch (zimpl.zib.de)
  AMPL/MP 4e2d45c4     AMPL .nl file reader library (github.com/ampl/mp)
  PaPILO 2.0.0         parallel presolve for integer and linear optimization (github.com/scipopt/papilo) [GitHash: 76cafc1]
  Ipopt 3.12.9         Interior Point Optimizer developed by A. Waechter et.al. (github.com/coin-or/Ipopt)

user parameter file <scip.set> not found - using default parameters

read problem <clefia_17.lp>
============

WARNING: skipped single sign + without value or variable in objective
original problem has 458 variables (458 bin, 0 int, 0 impl, 0 cont) and 851 constraints

solve problem
=============

feasible solution found by trivial heuristic after 0.0 seconds, objective value 1.360000e+02
presolving:
(round 1, fast)       16 del vars, 16 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 664 clqs
   (0.0s) running MILP presolver
   (0.0s) MILP presolver found nothing
(round 2, exhaustive) 16 del vars, 16 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 835 upgd conss, 0 impls, 664 clqs
(round 3, exhaustive) 16 del vars, 64 del conss, 16 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 835 upgd conss, 0 impls, 664 clqs
   (0.0s) probing: 51/442 (11.5%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
   Deactivated symmetry handling methods, since SCIP was built without symmetry detector (SYM=none).
presolving (4 rounds: 4 fast, 3 medium, 3 exhaustive):
 16 deleted vars, 64 deleted constraints, 16 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 664 cliques
presolved problem has 442 variables (442 bin, 0 int, 0 impl, 0 cont) and 803 constraints
    154 constraints of type <knapsack>
    632 constraints of type <setppc>
     16 constraints of type <and>
      1 constraints of type <logicor>
transformed objective value is always integral (scale: 1)
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
p 0.0s|     1 |     0 |     0 |     - |   locks|   0 | 442 | 804 | 819 |   0 |  0 |   0 |   0 | 0.000000e+00 | 1.010000e+02 |    Inf | unknown
p 0.0s|     1 |     0 |     0 |     - | vbounds|   0 | 442 | 809 | 819 |   0 |  0 |   5 |   0 | 0.000000e+00 | 3.500000e+01 |    Inf | unknown
  0.0s|     1 |     0 |   261 |     - |  6598k |   0 | 442 | 830 | 819 |   0 |  0 |  26 |   0 | 2.499995e-01 | 3.500000e+01 |  Large | unknown
  0.0s|     1 |     0 |   751 |     - |  7408k |   0 | 442 | 840 | 822 |   3 |  1 |  36 |   0 | 1.746955e+00 | 3.500000e+01 |1903.49%| unknown
  0.0s|     1 |     0 |   975 |     - |  8639k |   0 | 442 | 843 | 830 |  11 |  2 |  39 |   0 | 2.161294e+00 | 3.500000e+01 |1519.40%| unknown
  0.0s|     1 |     0 |  1375 |     - |    10M |   0 | 442 | 853 | 836 |  17 |  3 |  49 |   0 | 2.348877e+00 | 3.500000e+01 |1390.07%| unknown
  1.0s|     1 |     0 |  1666 |     - |    11M |   0 | 442 | 854 | 838 |  19 |  4 |  50 |   0 | 2.467750e+00 | 3.500000e+01 |1318.30%| unknown
  1.0s|     1 |     0 |  2007 |     - |    12M |   0 | 442 | 862 | 842 |  23 |  5 |  58 |   0 | 2.594350e+00 | 3.500000e+01 |1249.09%| unknown
  1.0s|     1 |     0 |  2201 |     - |    14M |   0 | 442 | 864 | 843 |  24 |  6 |  60 |   0 | 2.624947e+00 | 3.500000e+01 |1233.36%| unknown
  1.0s|     1 |     0 |  2534 |     - |    15M |   0 | 442 | 865 | 844 |  25 |  7 |  61 |   0 | 2.664040e+00 | 3.500000e+01 |1213.79%| unknown
  1.0s|     1 |     0 |  2750 |     - |    17M |   0 | 442 | 868 | 846 |  27 |  8 |  64 |   0 | 2.692678e+00 | 3.500000e+01 |1199.82%| unknown
  1.0s|     1 |     0 |  2996 |     - |    19M |   0 | 442 | 878 | 848 |  29 |  9 |  74 |   0 | 2.714860e+00 | 3.500000e+01 |1189.20%| unknown
  2.0s|     1 |     0 |  3299 |     - |    21M |   0 | 442 | 880 | 849 |  30 | 10 |  76 |   0 | 2.732361e+00 | 3.500000e+01 |1180.94%| unknown
  2.0s|     1 |     0 |  3480 |     - |    21M |   0 | 442 | 881 | 851 |  33 | 11 |  77 |   0 | 2.739951e+00 | 3.500000e+01 |1177.40%| unknown
  2.0s|     1 |     0 |  3643 |     - |    21M |   0 | 442 | 883 | 852 |  34 | 12 |  79 |   0 | 2.745438e+00 | 3.500000e+01 |1174.84%| unknown
